user_email,session_id
lennox.thomas@example.com,24
reese.garcia@example.com,24
parker.jackson@example.com,23
jordan.garcia@example.com,22
sage.brown@example.com,22
phoenix.martinez@example.com,21
nico.white@example.com,20
blake.kim@example.com,20
jamie.johnson@example.com,20
jordan.wilson@example.com,20
sage.jones@example.com,19
nico.brown@example.com,19
casey.white@example.com,18
taylor.garcia@example.com,15
sam.smith@example.com,15
phoenix.kim@example.com,15
val.martinez@example.com,15
blake.anderson@example.com,15
morgan.jones@example.com,15
max.johnson@example.com,15
emery.jones@example.com,15
eden.chen@example.com,15
rowan.chen@example.com,14
avery.harris@example.com,14
taylor.jones@example.com,13
casey.johnson@example.com,12
sage.davis@example.com,11
phoenix.johnson@example.com,10
river.patel@example.com,10
nico.harris@example.com,9
