user_email,total_tokens
jordan.garcia@example.com,685542.0
parker.jackson@example.com,649816.0
emery.jones@example.com,581474.0
jordan.wilson@example.com,570712.0
lennox.thomas@example.com,566916.0
blake.kim@example.com,522481.0
blake.anderson@example.com,484809.0
val.martinez@example.com,475586.0
phoenix.kim@example.com,469818.0
rowan.chen@example.com,459125.0
taylor.garcia@example.com,449768.0
jamie.johnson@example.com,446777.0
sage.brown@example.com,405468.0
avery.harris@example.com,382016.0
phoenix.martinez@example.com,368600.0
nico.white@example.com,353743.0
reese.garcia@example.com,332253.0
casey.white@example.com,324519.0
eden.chen@example.com,321262.0
nico.brown@example.com,318423.0
sage.davis@example.com,306957.0
sam.smith@example.com,294971.0
sage.jones@example.com,277997.0
taylor.jones@example.com,235199.0
max.johnson@example.com,204360.0
nico.harris@example.com,201102.0
river.patel@example.com,200279.0
morgan.jones@example.com,155652.0
phoenix.johnson@example.com,133164.0
casey.johnson@example.com,89444.0
